,0,1
0,{http://disclosure.edinet-fsa.go.jp/taxonomy/jpdei/2013-08-31/jpdei_cor}NumberOfSubmissionDEI,"{'contextRef': 'FilingDateInstant', 'decimals': '0', 'unitRef': 'pure'}"
0,{http://disclosure.edinet-fsa.go.jp/taxonomy/jpcrp/2021-11-01/jpcrp_cor}NetSalesSummaryOfBusinessResults,"{'contextRef': 'Prior1YTDDuration', 'decimals': '-6', 'unitRef': 'JPY'}"
0,{http://disclosure.edinet-fsa.go.jp/taxonomy/jpcrp/2021-11-01/jpcrp_cor}NetSalesSummaryOfBusinessResults,"{'contextRef': 'CurrentYTDDuration', 'decimals': '-6', 'unitRef': 'JPY'}"
0,{http://disclosure.edinet-fsa.go.jp/taxonomy/jpcrp/2021-11-01/jpcrp_cor}NetSalesSummaryOfBusinessResults,"{'contextRef': 'Prior1YearDuration', 'decimals': '-6', 'unitRef': 'JPY'}"
0,{http://disclosure.edinet-fsa.go.jp/taxonomy/jpcrp/2021-11-01/jpcrp_cor}OrdinaryIncomeLossSummaryOfBusinessResults,"{'contextRef': 'Prior1YTDDuration', 'decimals': '-6', 'unitRef': 'JPY'}"
0,{http://disclosure.edinet-fsa.go.jp/taxonomy/jpcrp/2021-11-01/jpcrp_cor}OrdinaryIncomeLossSummaryOfBusinessResults,"{'contextRef': 'CurrentYTDDuration', 'decimals': '-6', 'unitRef': 'JPY'}"
0,{http://disclosure.edinet-fsa.go.jp/taxonomy/jpcrp/2021-11-01/jpcrp_cor}OrdinaryIncomeLossSummaryOfBusinessResults,"{'contextRef': 'Prior1YearDuration', 'decimals': '-6', 'unitRef': 'JPY'}"
0,{http://disclosure.edinet-fsa.go.jp/taxonomy/jpcrp/2021-11-01/jpcrp_cor}ProfitLossAttributableToOwnersOfParentSummaryOfBusinessResults,"{'contextRef': 'Prior1YTDDuration', 'decimals': '-6', 'unitRef': 'JPY'}"
0,{http://disclosure.edinet-fsa.go.jp/taxonomy/jpcrp/2021-11-01/jpcrp_cor}ProfitLossAttributableToOwnersOfParentSummaryOfBusinessResults,"{'contextRef': 'CurrentYTDDuration', 'decimals': '-6', 'unitRef': 'JPY'}"
0,{http://disclosure.edinet-fsa.go.jp/taxonomy/jpcrp/2021-11-01/jpcrp_cor}ProfitLossAttributableToOwnersOfParentSummaryOfBusinessResults,"{'contextRef': 'Prior1YearDuration', 'decimals': '-6', 'unitRef': 'JPY'}"
0,{http://disclosure.edinet-fsa.go.jp/taxonomy/jpcrp/2021-11-01/jpcrp_cor}ComprehensiveIncomeSummaryOfBusinessResults,"{'contextRef': 'Prior1YTDDuration', 'decimals': '-6', 'unitRef': 'JPY'}"
0,{http://disclosure.edinet-fsa.go.jp/taxonomy/jpcrp/2021-11-01/jpcrp_cor}ComprehensiveIncomeSummaryOfBusinessResults,"{'contextRef': 'CurrentYTDDuration', 'decimals': '-6', 'unitRef': 'JPY'}"
0,{http://disclosure.edinet-fsa.go.jp/taxonomy/jpcrp/2021-11-01/jpcrp_cor}ComprehensiveIncomeSummaryOfBusinessResults,"{'contextRef': 'Prior1YearDuration', 'decimals': '-6', 'unitRef': 'JPY'}"
0,{http://disclosure.edinet-fsa.go.jp/taxonomy/jpcrp/2021-11-01/jpcrp_cor}NetAssetsSummaryOfBusinessResults,"{'contextRef': 'Prior1QuarterInstant', 'decimals': '-6', 'unitRef': 'JPY'}"
0,{http://disclosure.edinet-fsa.go.jp/taxonomy/jpcrp/2021-11-01/jpcrp_cor}NetAssetsSummaryOfBusinessResults,"{'contextRef': 'CurrentQuarterInstant', 'decimals': '-6', 'unitRef': 'JPY'}"
0,{http://disclosure.edinet-fsa.go.jp/taxonomy/jpcrp/2021-11-01/jpcrp_cor}NetAssetsSummaryOfBusinessResults,"{'contextRef': 'Prior1YearInstant', 'decimals': '-6', 'unitRef': 'JPY'}"
0,{http://disclosure.edinet-fsa.go.jp/taxonomy/jpcrp/2021-11-01/jpcrp_cor}TotalAssetsSummaryOfBusinessResults,"{'contextRef': 'Prior1QuarterInstant', 'decimals': '-6', 'unitRef': 'JPY'}"
0,{http://disclosure.edinet-fsa.go.jp/taxonomy/jpcrp/2021-11-01/jpcrp_cor}TotalAssetsSummaryOfBusinessResults,"{'contextRef': 'CurrentQuarterInstant', 'decimals': '-6', 'unitRef': 'JPY'}"
0,{http://disclosure.edinet-fsa.go.jp/taxonomy/jpcrp/2021-11-01/jpcrp_cor}TotalAssetsSummaryOfBusinessResults,"{'contextRef': 'Prior1YearInstant', 'decimals': '-6', 'unitRef': 'JPY'}"
0,{http://disclosure.edinet-fsa.go.jp/taxonomy/jpcrp/2021-11-01/jpcrp_cor}BasicEarningsLossPerShareSummaryOfBusinessResults,"{'contextRef': 'Prior1YTDDuration', 'decimals': '2', 'unitRef': 'JPYPerShares'}"
0,{http://disclosure.edinet-fsa.go.jp/taxonomy/jpcrp/2021-11-01/jpcrp_cor}BasicEarningsLossPerShareSummaryOfBusinessResults,"{'contextRef': 'CurrentYTDDuration', 'decimals': '2', 'unitRef': 'JPYPerShares'}"
0,{http://disclosure.edinet-fsa.go.jp/taxonomy/jpcrp/2021-11-01/jpcrp_cor}BasicEarningsLossPerShareSummaryOfBusinessResults,"{'contextRef': 'Prior1YearDuration', 'decimals': '2', 'unitRef': 'JPYPerShares'}"
0,{http://disclosure.edinet-fsa.go.jp/taxonomy/jpcrp/2021-11-01/jpcrp_cor}DilutedEarningsPerShareSummaryOfBusinessResults,"{'contextRef': 'Prior1YTDDuration', 'unitRef': 'JPYPerShares', '{http://www.w3.org/2001/XMLSchema-instance}nil': 'true'}"
0,{http://disclosure.edinet-fsa.go.jp/taxonomy/jpcrp/2021-11-01/jpcrp_cor}DilutedEarningsPerShareSummaryOfBusinessResults,"{'contextRef': 'CurrentYTDDuration', 'unitRef': 'JPYPerShares', '{http://www.w3.org/2001/XMLSchema-instance}nil': 'true'}"
0,{http://disclosure.edinet-fsa.go.jp/taxonomy/jpcrp/2021-11-01/jpcrp_cor}DilutedEarningsPerShareSummaryOfBusinessResults,"{'contextRef': 'Prior1YearDuration', 'unitRef': 'JPYPerShares', '{http://www.w3.org/2001/XMLSchema-instance}nil': 'true'}"
0,{http://disclosure.edinet-fsa.go.jp/taxonomy/jpcrp/2021-11-01/jpcrp_cor}EquityToAssetRatioSummaryOfBusinessResults,"{'contextRef': 'Prior1QuarterInstant', 'decimals': '3', 'unitRef': 'pure'}"
0,{http://disclosure.edinet-fsa.go.jp/taxonomy/jpcrp/2021-11-01/jpcrp_cor}EquityToAssetRatioSummaryOfBusinessResults,"{'contextRef': 'CurrentQuarterInstant', 'decimals': '3', 'unitRef': 'pure'}"
0,{http://disclosure.edinet-fsa.go.jp/taxonomy/jpcrp/2021-11-01/jpcrp_cor}EquityToAssetRatioSummaryOfBusinessResults,"{'contextRef': 'Prior1YearInstant', 'decimals': '3', 'unitRef': 'pure'}"
0,{http://disclosure.edinet-fsa.go.jp/taxonomy/jpcrp/2021-11-01/jpcrp_cor}BasicEarningsLossPerShareSummaryOfBusinessResults,"{'contextRef': 'Prior1QuarterDuration', 'decimals': '2', 'unitRef': 'JPYPerShares'}"
0,{http://disclosure.edinet-fsa.go.jp/taxonomy/jpcrp/2021-11-01/jpcrp_cor}BasicEarningsLossPerShareSummaryOfBusinessResults,"{'contextRef': 'CurrentQuarterDuration', 'decimals': '2', 'unitRef': 'JPYPerShares'}"
0,{http://disclosure.edinet-fsa.go.jp/taxonomy/jpcrp/2021-11-01/jpcrp_cor}NumberOfIssuedSharesAsOfFiscalYearEndIssuedSharesTotalNumberOfSharesEtc,"{'contextRef': 'FilingDateInstant_OrdinaryShareMember', 'decimals': '0', 'unitRef': 'shares'}"
0,{http://disclosure.edinet-fsa.go.jp/taxonomy/jpcrp/2021-11-01/jpcrp_cor}NumberOfIssuedSharesAsOfFilingDateIssuedSharesTotalNumberOfSharesEtc,"{'contextRef': 'FilingDateInstant_OrdinaryShareMember', 'decimals': '0', 'unitRef': 'shares'}"
0,{http://disclosure.edinet-fsa.go.jp/taxonomy/jpcrp/2021-11-01/jpcrp_cor}NumberOfIssuedSharesAsOfFiscalYearEndIssuedSharesTotalNumberOfSharesEtc,"{'contextRef': 'FilingDateInstant', 'decimals': '0', 'unitRef': 'shares'}"
0,{http://disclosure.edinet-fsa.go.jp/taxonomy/jpcrp/2021-11-01/jpcrp_cor}NumberOfIssuedSharesAsOfFilingDateIssuedSharesTotalNumberOfSharesEtc,"{'contextRef': 'FilingDateInstant', 'decimals': '0', 'unitRef': 'shares'}"
0,{http://disclosure.edinet-fsa.go.jp/taxonomy/jpcrp/2021-11-01/jpcrp_cor}NumberOfSharesIssuedSharesVotingRights,"{'contextRef': 'CurrentQuarterInstant_SharesWithNoVotingRightsMember', 'unitRef': 'shares', '{http://www.w3.org/2001/XMLSchema-instance}nil': 'true'}"
0,{http://disclosure.edinet-fsa.go.jp/taxonomy/jpcrp/2021-11-01/jpcrp_cor}NumberOfSharesIssuedSharesVotingRights,"{'contextRef': 'CurrentQuarterInstant_SharesWithRestrictedVotingRightsTreasurySharesEtcMember', 'unitRef': 'shares', '{http://www.w3.org/2001/XMLSchema-instance}nil': 'true'}"
0,{http://disclosure.edinet-fsa.go.jp/taxonomy/jpcrp/2021-11-01/jpcrp_cor}NumberOfSharesIssuedSharesVotingRights,"{'contextRef': 'CurrentQuarterInstant_SharesWithRestrictedVotingRightsOtherMember', 'unitRef': 'shares', '{http://www.w3.org/2001/XMLSchema-instance}nil': 'true'}"
0,{http://disclosure.edinet-fsa.go.jp/taxonomy/jpcrp/2021-11-01/jpcrp_cor}NumberOfVotingRightsIssuedSharesVotingRights,"{'contextRef': 'CurrentQuarterInstant_SharesWithRestrictedVotingRightsOtherMember', 'unitRef': 'pure', '{http://www.w3.org/2001/XMLSchema-instance}nil': 'true'}"
0,{http://disclosure.edinet-fsa.go.jp/taxonomy/jpcrp/2021-11-01/jpcrp_cor}NumberOfSharesIssuedSharesVotingRights,"{'contextRef': 'CurrentQuarterInstant_OrdinarySharesTreasurySharesSharesWithFullVotingRightsTreasurySharesEtcMember', 'decimals': '0', 'unitRef': 'shares'}"
0,{http://disclosure.edinet-fsa.go.jp/taxonomy/jpcrp/2021-11-01/jpcrp_cor}NumberOfSharesIssuedSharesVotingRights,"{'contextRef': 'CurrentQuarterInstant_OrdinarySharesSharesWithFullVotingRightsOtherMember', 'decimals': '0', 'unitRef': 'shares'}"
0,{http://disclosure.edinet-fsa.go.jp/taxonomy/jpcrp/2021-11-01/jpcrp_cor}NumberOfVotingRightsIssuedSharesVotingRights,"{'contextRef': 'CurrentQuarterInstant_OrdinarySharesSharesWithFullVotingRightsOtherMember', 'decimals': '0', 'unitRef': 'pure'}"
0,{http://disclosure.edinet-fsa.go.jp/taxonomy/jpcrp/2021-11-01/jpcrp_cor}NumberOfSharesIssuedSharesVotingRights,"{'contextRef': 'CurrentQuarterInstant_OrdinarySharesSharesLessThanOneUnitMember', 'decimals': '0', 'unitRef': 'shares'}"
0,{http://disclosure.edinet-fsa.go.jp/taxonomy/jpcrp/2021-11-01/jpcrp_cor}NumberOfSharesIssuedSharesVotingRights,"{'contextRef': 'CurrentQuarterInstant', 'decimals': '0', 'unitRef': 'shares'}"
0,{http://disclosure.edinet-fsa.go.jp/taxonomy/jpcrp/2021-11-01/jpcrp_cor}NumberOfVotingRightsIssuedSharesVotingRights,"{'contextRef': 'CurrentQuarterInstant', 'decimals': '0', 'unitRef': 'pure'}"
0,{http://disclosure.edinet-fsa.go.jp/taxonomy/jpcrp/2021-11-01/jpcrp_cor}NumberOfSharesHeldInOwnNameTreasurySharesEtc,"{'contextRef': 'CurrentQuarterInstant_Row1Member', 'decimals': '0', 'unitRef': 'shares'}"
0,{http://disclosure.edinet-fsa.go.jp/taxonomy/jpcrp/2021-11-01/jpcrp_cor}NumberOfSharesHeldInOthersNamesTreasurySharesEtc,"{'contextRef': 'CurrentQuarterInstant_Row1Member', 'unitRef': 'shares', '{http://www.w3.org/2001/XMLSchema-instance}nil': 'true'}"
0,{http://disclosure.edinet-fsa.go.jp/taxonomy/jpcrp/2021-11-01/jpcrp_cor}TotalNumberOfSharesHeldTreasurySharesEtc,"{'contextRef': 'CurrentQuarterInstant_Row1Member', 'decimals': '0', 'unitRef': 'shares'}"
0,{http://disclosure.edinet-fsa.go.jp/taxonomy/jpcrp/2021-11-01/jpcrp_cor}ShareholdingRatioTreasurySharesEtc,"{'contextRef': 'CurrentQuarterInstant_Row1Member', 'decimals': '4', 'unitRef': 'pure'}"
0,{http://disclosure.edinet-fsa.go.jp/taxonomy/jpcrp/2021-11-01/jpcrp_cor}NumberOfSharesHeldInOwnNameTreasurySharesEtc,"{'contextRef': 'CurrentQuarterInstant', 'decimals': '0', 'unitRef': 'shares'}"
0,{http://disclosure.edinet-fsa.go.jp/taxonomy/jpcrp/2021-11-01/jpcrp_cor}NumberOfSharesHeldInOthersNamesTreasurySharesEtc,"{'contextRef': 'CurrentQuarterInstant', 'unitRef': 'shares', '{http://www.w3.org/2001/XMLSchema-instance}nil': 'true'}"
0,{http://disclosure.edinet-fsa.go.jp/taxonomy/jpcrp/2021-11-01/jpcrp_cor}TotalNumberOfSharesHeldTreasurySharesEtc,"{'contextRef': 'CurrentQuarterInstant', 'decimals': '0', 'unitRef': 'shares'}"
0,{http://disclosure.edinet-fsa.go.jp/taxonomy/jpcrp/2021-11-01/jpcrp_cor}ShareholdingRatioTreasurySharesEtc,"{'contextRef': 'CurrentQuarterInstant', 'decimals': '4', 'unitRef': 'pure'}"
0,{http://disclosure.edinet-fsa.go.jp/taxonomy/jppfs/2021-11-01/jppfs_cor}CashAndDeposits,"{'contextRef': 'Prior1YearInstant', 'decimals': '-6', 'unitRef': 'JPY'}"
0,{http://disclosure.edinet-fsa.go.jp/taxonomy/jppfs/2021-11-01/jppfs_cor}CashAndDeposits,"{'contextRef': 'CurrentQuarterInstant', 'decimals': '-6', 'unitRef': 'JPY'}"
0,{http://disclosure.edinet-fsa.go.jp/taxonomy/jppfs/2021-11-01/jppfs_cor}NotesAndAccountsReceivableTrade,"{'contextRef': 'Prior1YearInstant', 'decimals': '-6', 'unitRef': 'JPY'}"
0,{http://disclosure.edinet-fsa.go.jp/taxonomy/jppfs/2021-11-01/jppfs_cor}NotesAndAccountsReceivableTrade,"{'contextRef': 'CurrentQuarterInstant', 'decimals': '-6', 'unitRef': 'JPY'}"
0,{http://disclosure.edinet-fsa.go.jp/taxonomy/jppfs/2021-11-01/jppfs_cor}Inventories,"{'contextRef': 'Prior1YearInstant', 'decimals': '-6', 'unitRef': 'JPY'}"
0,{http://disclosure.edinet-fsa.go.jp/taxonomy/jppfs/2021-11-01/jppfs_cor}Inventories,"{'contextRef': 'CurrentQuarterInstant', 'decimals': '-6', 'unitRef': 'JPY'}"
0,{http://disclosure.edinet-fsa.go.jp/taxonomy/jppfs/2021-11-01/jppfs_cor}OtherCA,"{'contextRef': 'Prior1YearInstant', 'decimals': '-6', 'unitRef': 'JPY'}"
0,{http://disclosure.edinet-fsa.go.jp/taxonomy/jppfs/2021-11-01/jppfs_cor}OtherCA,"{'contextRef': 'CurrentQuarterInstant', 'decimals': '-6', 'unitRef': 'JPY'}"
0,{http://disclosure.edinet-fsa.go.jp/taxonomy/jppfs/2021-11-01/jppfs_cor}AllowanceForDoubtfulAccountsCA,"{'contextRef': 'Prior1YearInstant', 'decimals': '-6', 'unitRef': 'JPY'}"
0,{http://disclosure.edinet-fsa.go.jp/taxonomy/jppfs/2021-11-01/jppfs_cor}AllowanceForDoubtfulAccountsCA,"{'contextRef': 'CurrentQuarterInstant', 'decimals': '-6', 'unitRef': 'JPY'}"
0,{http://disclosure.edinet-fsa.go.jp/taxonomy/jppfs/2021-11-01/jppfs_cor}CurrentAssets,"{'contextRef': 'Prior1YearInstant', 'decimals': '-6', 'unitRef': 'JPY'}"
0,{http://disclosure.edinet-fsa.go.jp/taxonomy/jppfs/2021-11-01/jppfs_cor}CurrentAssets,"{'contextRef': 'CurrentQuarterInstant', 'decimals': '-6', 'unitRef': 'JPY'}"
0,{http://disclosure.edinet-fsa.go.jp/taxonomy/jppfs/2021-11-01/jppfs_cor}PropertyPlantAndEquipment,"{'contextRef': 'Prior1YearInstant', 'decimals': '-6', 'unitRef': 'JPY'}"
0,{http://disclosure.edinet-fsa.go.jp/taxonomy/jppfs/2021-11-01/jppfs_cor}PropertyPlantAndEquipment,"{'contextRef': 'CurrentQuarterInstant', 'decimals': '-6', 'unitRef': 'JPY'}"
0,{http://disclosure.edinet-fsa.go.jp/taxonomy/jppfs/2021-11-01/jppfs_cor}IntangibleAssets,"{'contextRef': 'Prior1YearInstant', 'decimals': '-6', 'unitRef': 'JPY'}"
0,{http://disclosure.edinet-fsa.go.jp/taxonomy/jppfs/2021-11-01/jppfs_cor}IntangibleAssets,"{'contextRef': 'CurrentQuarterInstant', 'decimals': '-6', 'unitRef': 'JPY'}"
0,{http://disclosure.edinet-fsa.go.jp/taxonomy/jppfs/2021-11-01/jppfs_cor}InvestmentSecurities,"{'contextRef': 'Prior1YearInstant', 'decimals': '-6', 'unitRef': 'JPY'}"
0,{http://disclosure.edinet-fsa.go.jp/taxonomy/jppfs/2021-11-01/jppfs_cor}InvestmentSecurities,"{'contextRef': 'CurrentQuarterInstant', 'decimals': '-6', 'unitRef': 'JPY'}"
0,{http://disclosure.edinet-fsa.go.jp/taxonomy/jppfs/2021-11-01/jppfs_cor}DeferredTaxAssets,"{'contextRef': 'Prior1YearInstant', 'decimals': '-6', 'unitRef': 'JPY'}"
0,{http://disclosure.edinet-fsa.go.jp/taxonomy/jppfs/2021-11-01/jppfs_cor}DeferredTaxAssets,"{'contextRef': 'CurrentQuarterInstant', 'decimals': '-6', 'unitRef': 'JPY'}"
0,{http://disclosure.edinet-fsa.go.jp/taxonomy/jppfs/2021-11-01/jppfs_cor}OtherIOA,"{'contextRef': 'Prior1YearInstant', 'decimals': '-6', 'unitRef': 'JPY'}"
0,{http://disclosure.edinet-fsa.go.jp/taxonomy/jppfs/2021-11-01/jppfs_cor}OtherIOA,"{'contextRef': 'CurrentQuarterInstant', 'decimals': '-6', 'unitRef': 'JPY'}"
0,{http://disclosure.edinet-fsa.go.jp/taxonomy/jppfs/2021-11-01/jppfs_cor}AllowanceForDoubtfulAccountsIOAByGroup,"{'contextRef': 'Prior1YearInstant', 'decimals': '-6', 'unitRef': 'JPY'}"
0,{http://disclosure.edinet-fsa.go.jp/taxonomy/jppfs/2021-11-01/jppfs_cor}AllowanceForDoubtfulAccountsIOAByGroup,"{'contextRef': 'CurrentQuarterInstant', 'decimals': '-6', 'unitRef': 'JPY'}"
0,{http://disclosure.edinet-fsa.go.jp/taxonomy/jppfs/2021-11-01/jppfs_cor}InvestmentsAndOtherAssets,"{'contextRef': 'Prior1YearInstant', 'decimals': '-6', 'unitRef': 'JPY'}"
0,{http://disclosure.edinet-fsa.go.jp/taxonomy/jppfs/2021-11-01/jppfs_cor}InvestmentsAndOtherAssets,"{'contextRef': 'CurrentQuarterInstant', 'decimals': '-6', 'unitRef': 'JPY'}"
0,{http://disclosure.edinet-fsa.go.jp/taxonomy/jppfs/2021-11-01/jppfs_cor}NoncurrentAssets,"{'contextRef': 'Prior1YearInstant', 'decimals': '-6', 'unitRef': 'JPY'}"
0,{http://disclosure.edinet-fsa.go.jp/taxonomy/jppfs/2021-11-01/jppfs_cor}NoncurrentAssets,"{'contextRef': 'CurrentQuarterInstant', 'decimals': '-6', 'unitRef': 'JPY'}"
0,{http://disclosure.edinet-fsa.go.jp/taxonomy/jppfs/2021-11-01/jppfs_cor}Assets,"{'contextRef': 'Prior1YearInstant', 'decimals': '-6', 'unitRef': 'JPY'}"
0,{http://disclosure.edinet-fsa.go.jp/taxonomy/jppfs/2021-11-01/jppfs_cor}Assets,"{'contextRef': 'CurrentQuarterInstant', 'decimals': '-6', 'unitRef': 'JPY'}"
0,{http://disclosure.edinet-fsa.go.jp/taxonomy/jppfs/2021-11-01/jppfs_cor}NotesAndAccountsPayableTrade,"{'contextRef': 'Prior1YearInstant', 'decimals': '-6', 'unitRef': 'JPY'}"
0,{http://disclosure.edinet-fsa.go.jp/taxonomy/jppfs/2021-11-01/jppfs_cor}NotesAndAccountsPayableTrade,"{'contextRef': 'CurrentQuarterInstant', 'decimals': '-6', 'unitRef': 'JPY'}"
0,{http://disclosure.edinet-fsa.go.jp/taxonomy/jppfs/2021-11-01/jppfs_cor}ShortTermLoansPayable,"{'contextRef': 'Prior1YearInstant', 'decimals': '-6', 'unitRef': 'JPY'}"
0,{http://disclosure.edinet-fsa.go.jp/taxonomy/jppfs/2021-11-01/jppfs_cor}ShortTermLoansPayable,"{'contextRef': 'CurrentQuarterInstant', 'decimals': '-6', 'unitRef': 'JPY'}"
0,{http://disclosure.edinet-fsa.go.jp/taxonomy/jppfs/2021-11-01/jppfs_cor}CommercialPapersLiabilities,"{'contextRef': 'Prior1YearInstant', 'decimals': '-6', 'unitRef': 'JPY'}"
0,{http://disclosure.edinet-fsa.go.jp/taxonomy/jppfs/2021-11-01/jppfs_cor}CommercialPapersLiabilities,"{'contextRef': 'CurrentQuarterInstant', 'decimals': '-6', 'unitRef': 'JPY'}"
0,{http://disclosure.edinet-fsa.go.jp/taxonomy/jppfs/2021-11-01/jppfs_cor}IncomeTaxesPayable,"{'contextRef': 'Prior1YearInstant', 'decimals': '-6', 'unitRef': 'JPY'}"
0,{http://disclosure.edinet-fsa.go.jp/taxonomy/jppfs/2021-11-01/jppfs_cor}IncomeTaxesPayable,"{'contextRef': 'CurrentQuarterInstant', 'decimals': '-6', 'unitRef': 'JPY'}"
